imdb_id	kind	reference_name
nm0000992	person	Billie Burke
nm0000995	person	Ellen Burstyn
nm0000997	person	Gary Busey
nm0000999	person	Red Buttons
nm0001001	person	James Caan
nm0001005	person	Jane Campion
nm0001007	person	Dyan Cannon
nm0001008	person	Frank Capra
nm0001011	person	Irene Cara
nm0001018	person	Keith Carradine
nm0001023	person	John Cassavetes
nm0001025	person	Seymour Cassel
nm0001046	person	Julie Christie
nm0001047	person	Michael Cimino
nm0001049	person	Jill Clayburgh
nm0001050	person	Montgomery Clift
nm0001053	person	Ethan Coen
nm0001054	person	Joel Coen
nm0001055	person	Claudette Colbert
nm0001057	person	Toni Collette
nm0001060	person	Chris Columbus
nm0001068	person	Sofia Coppola
nm0001076	person	Joan Crawford
nm0001078	person	Bing Crosby
nm0001080	person	Lindsay Crouse
nm0001081	person	Cameron Crowe
nm0001085	person	Kieran Culkin
nm0001104	person	Frank Darabont
nm0001109	person	Jaye Davidson
nm0001114	person	Judy Davis
nm0001117	person	Bruce Davison
nm0001120	person	Vittorio De Sica
nm0001121	person	Brandon deWilde
nm0001124	person	Cecil B. DeMille
nm0001125	person	Benicio del Toro
nm0001129	person	Jonathan Demme
nm0001132	person	Judi Dench
nm0001136	person	Bruce Dern
nm0001156	person	Olympia Dukakis
nm0001157	person	Patty Duke
nm0001159	person	Faye Dunaway
nm0001162	person	Griffin Dunne
nm0001164	person	Charles Durning
nm0001168	person	Bob Dylan
nm0001175	person	Blake Edwards
nm0001186	person	Denholm Elliott
nm0001188	person	Nora Ephron
nm0001189	person	Gabriel Yared
nm0001196	person	Douglas Fairbanks
nm0001207	person	José Ferrer
nm0001214	person	Mike Figgis
nm0001215	person	Albert Finney
nm0001221	person	Louise Fletcher
nm0001225	person	Nina Foch
nm0001228	person	Peter Fonda
nm0001232	person	Miloš Forman
nm0001233	person	Robert Forster
nm0001241	person	Stephen Frears
nm0001243	person	William Friedkin
nm0001246	person	Dan Futterman
nm0001256	person	Greta Garbo
nm0001257	person	Ava Gardner
nm0001258	person	James Garner
nm0001273	person	Lillian Gish
nm0001275	person	Philip Glass
nm0001276	person	Jackie Gleason
nm0001279	person	William Goldman
nm0001283	person	Louis Gossett Jr.
nm0001285	person	Elliott Gould
nm0001290	person	Richard E. Grant
nm0001294	person	Graham Greene
nm0001295	person	Graham Greene
nm0001297	person	Joel Grey
nm0001315	person	Marcia Gay Harden
nm0001321	person	Richard Harris
nm0001322	person	Rex Harrison
nm0001328	person	Howard Hawks
nm0001329	person	Nigel Hawthorne
nm0001331	person	Todd Haynes
nm0001333	person	Susan Hayward
nm0001336	person	Van Heflin
nm0001338	person	Brian Helgeland
nm0001345	person	Jim Henson
nm0001347	person	Barbara Hershey
nm0001348	person	Werner Herzog
nm0001351	person	George Roy Hill
nm0001354	person	Ciarán Hinds
nm0001357	person	Paul Hogan
nm0001358	person	Hal Holbrook
nm0001362	person	Bob Hope
nm0001364	person	Bob Hoskins
nm0001366	person	Leslie Howard
nm0001369	person	Rock Hudson
nm0001371	person	Tom Hulce
nm0001373	person	Linda Hunt
nm0001375	person	Kim Hunter
nm0001376	person	Isabelle Huppert
nm0001378	person	Anjelica Huston
nm0001379	person	John Huston
nm0001388	person	Amy Irving
nm0001390	person	Janet Jackson
nm0001392	person	Peter Jackson
nm0001395	person	Richard Jaeckel
nm0001399	person	Marianne Jean-Baptiste
nm0001401	person	Angelina Jolie
nm0001403	person	Neil Jordan
nm0001404	person	Madeline Kahn
nm0001405	person	Janusz Kamiński
nm0001406	person	Carol Kane
nm0001410	person	Lawrence Kasdan
nm0001414	person	Danny Kaye
nm0001415	person	Elia Kazan
nm0001416	person	Catherine Keener
nm0001419	person	Sally Kellerman
nm0001421	person	George Kennedy
nm0001425	person	Krzysztof Kieślowski
nm0001426	person	Ben Kingsley
nm0001427	person	Greg Kinnear
nm0001434	person	Kris Kristofferson
nm0001441	person	Christine Lahti
nm0001445	person	Martin Landau
nm0001448	person	Jessica Lange
nm0001449	person	Frank Langella
nm0001450	person	Angela Lansbury
nm0001451	person	Queen Latifah
nm0001452	person	Charles Laughton
nm0001453	person	Piper Laurie
nm0001458	person	Cloris Leachman
nm0001463	person	Janet Leigh
nm0001467	person	Jared Leto
nm0001469	person	Barry Levinson
nm0001471	person	Jerry Lewis
nm0001473	person	Laura Linney
nm0001475	person	John Lithgow
nm0001479	person	Carole Lombard
nm0001485	person	Myrna Loy
nm0001486	person	Sidney Lumet
nm0001490	person	Adrian Lyne
nm0001496	person	Amy Madigan
nm0001500	person	Karl Malden
nm0001501	person	Louis Malle
nm0001511	person	Lee Marvin
nm0001512	person	Mary Elizabeth Mastrantonio
nm0001521	person	Mary McDonnell
nm0001527	person	Elizabeth McGovern
